forecast_date,horizon,target,target_date,location,output_type,output_type_id,value
2023-04-24,1,wk ahead inc flu hosp,2023-05-01,US,mean,NA,1033
2023-04-24,2,wk ahead inc flu hosp,2023-05-08,US,mean,NA,1033
2023-04-24,1,wk ahead inc flu hosp,2023-05-01,US,quantile,0.01,0
2023-04-24,1,wk ahead inc flu hosp,2023-05-01,US,quantile,0.025,0
2023-04-24,1,wk ahead inc flu hosp,2023-05-01,US,quantile,0.05,0
2023-04-24,1,wk ahead inc flu hosp,2023-05-01,US,quantile,0.1,281
2023-04-24,1,wk ahead inc flu hosp,2023-05-01,US,quantile,0.15,600
2023-04-24,1,wk ahead inc flu hosp,2023-05-01,US,quantile,0.2,717
2023-04-24,1,wk ahead inc flu hosp,2023-05-01,US,quantile,0.25,817
2023-04-24,1,wk ahead inc flu hosp,2023-05-01,US,quantile,0.3,877
2023-04-24,1,wk ahead inc flu hosp,2023-05-01,US,quantile,0.35,913
2023-04-24,1,wk ahead inc flu hosp,2023-05-01,US,quantile,0.4,965
2023-04-24,1,wk ahead inc flu hosp,2023-05-01,US,quantile,0.45,1011
2023-04-24,1,wk ahead inc flu hosp,2023-05-01,US,quantile,0.5,1033
2023-04-24,1,wk ahead inc flu hosp,2023-05-01,US,quantile,0.55,1055
2023-04-24,1,wk ahead inc flu hosp,2023-05-01,US,quantile,0.6,1101
2023-04-24,1,wk ahead inc flu hosp,2023-05-01,US,quantile,0.65,1153
2023-04-24,1,wk ahead inc flu hosp,2023-05-01,US,quantile,0.7,1189
2023-04-24,1,wk ahead inc flu hosp,2023-05-01,US,quantile,0.75,1249
2023-04-24,1,wk ahead inc flu hosp,2023-05-01,US,quantile,0.8,1349
2023-04-24,1,wk ahead inc flu hosp,2023-05-01,US,quantile,0.85,1466
2023-04-24,1,wk ahead inc flu hosp,2023-05-01,US,quantile,0.9,1785
2023-04-24,1,wk ahead inc flu hosp,2023-05-01,US,quantile,0.95,3443
2023-04-24,1,wk ahead inc flu hosp,2023-05-01,US,quantile,0.975,5183
2023-04-24,1,wk ahead inc flu hosp,2023-05-01,US,quantile,0.99,7490
2023-04-24,2,wk ahead inc flu hosp,2023-05-08,US,quantile,0.01,0
2023-04-24,2,wk ahead inc flu hosp,2023-05-08,US,quantile,0.025,0
2023-04-24,2,wk ahead inc flu hosp,2023-05-08,US,quantile,0.05,0
2023-04-24,2,wk ahead inc flu hosp,2023-05-08,US,quantile,0.1,0
2023-04-24,2,wk ahead inc flu hosp,2023-05-08,US,quantile,0.15,0
2023-04-24,2,wk ahead inc flu hosp,2023-05-08,US,quantile,0.2,378
2023-04-24,2,wk ahead inc flu hosp,2023-05-08,US,quantile,0.25,579
2023-04-24,2,wk ahead inc flu hosp,2023-05-08,US,quantile,0.3,706
2023-04-24,2,wk ahead inc flu hosp,2023-05-08,US,quantile,0.35,806
2023-04-24,2,wk ahead inc flu hosp,2023-05-08,US,quantile,0.4,887
2023-04-24,2,wk ahead inc flu hosp,2023-05-08,US,quantile,0.45,963
2023-04-24,2,wk ahead inc flu hosp,2023-05-08,US,quantile,0.5,1033
2023-04-24,2,wk ahead inc flu hosp,2023-05-08,US,quantile,0.55,1102
2023-04-24,2,wk ahead inc flu hosp,2023-05-08,US,quantile,0.6,1179
2023-04-24,2,wk ahead inc flu hosp,2023-05-08,US,quantile,0.65,1262
2023-04-24,2,wk ahead inc flu hosp,2023-05-08,US,quantile,0.7,1363
2023-04-24,2,wk ahead inc flu hosp,2023-05-08,US,quantile,0.75,1489
2023-04-24,2,wk ahead inc flu hosp,2023-05-08,US,quantile,0.8,1690
2023-04-24,2,wk ahead inc flu hosp,2023-05-08,US,quantile,0.85,2387
2023-04-24,2,wk ahead inc flu hosp,2023-05-08,US,quantile,0.9,3348
2023-04-24,2,wk ahead inc flu hosp,2023-05-08,US,quantile,0.95,5048
2023-04-24,2,wk ahead inc flu hosp,2023-05-08,US,quantile,0.975,7471
2023-04-24,2,wk ahead inc flu hosp,2023-05-08,US,quantile,0.99,8402
