"location","reference_date","horizon","target_end_date","target","output_type","output_type_id","value"
"US",2022-10-22,1,2022-10-29,"wk inc flu hosp","quantile","0.025",2246
"US",2022-10-22,1,2022-10-29,"wk inc flu hosp","quantile","0.1",2709
"US",2022-10-22,1,2022-10-29,"wk inc flu hosp","quantile","0.2",3107
"US",2022-10-22,1,2022-10-29,"wk inc flu hosp","quantile","0.3",3470
"US",2022-10-22,1,2022-10-29,"wk inc flu hosp","quantile","0.4",3830
"US",2022-10-22,1,2022-10-29,"wk inc flu hosp","quantile","0.5",4222
"US",2022-10-22,1,2022-10-29,"wk inc flu hosp","quantile","0.6",4683
"US",2022-10-22,1,2022-10-29,"wk inc flu hosp","quantile","0.7",5266
"US",2022-10-22,1,2022-10-29,"wk inc flu hosp","quantile","0.8",6106
"US",2022-10-22,1,2022-10-29,"wk inc flu hosp","quantile","0.9",7472
"US",2022-10-22,1,2022-10-29,"wk inc flu hosp","quantile","0.975",10177
"US",2022-10-22,2,2022-11-05,"wk inc flu hosp","quantile","0.025",3129
"US",2022-10-22,2,2022-11-05,"wk inc flu hosp","quantile","0.1",4021
"US",2022-10-22,2,2022-11-05,"wk inc flu hosp","quantile","0.2",4846
"US",2022-10-22,2,2022-11-05,"wk inc flu hosp","quantile","0.3",5625
"US",2022-10-22,2,2022-11-05,"wk inc flu hosp","quantile","0.4",6426
"US",2022-10-22,2,2022-11-05,"wk inc flu hosp","quantile","0.5",7319
"US",2022-10-22,2,2022-11-05,"wk inc flu hosp","quantile","0.6",8396
"US",2022-10-22,2,2022-11-05,"wk inc flu hosp","quantile","0.7",9814
"US",2022-10-22,2,2022-11-05,"wk inc flu hosp","quantile","0.8",11919
"US",2022-10-22,2,2022-11-05,"wk inc flu hosp","quantile","0.9",15409
"US",2022-10-22,2,2022-11-05,"wk inc flu hosp","quantile","0.975",22572
"01",2022-10-22,1,2022-10-29,"wk inc flu hosp","quantile","0.025",307
"01",2022-10-22,2,2022-11-05,"wk inc flu hosp","quantile","0.025",547
"01",2022-10-22,1,2022-10-29,"wk inc flu hosp","quantile","0.1",383
"01",2022-10-22,2,2022-11-05,"wk inc flu hosp","quantile","0.1",728
"01",2022-10-22,1,2022-10-29,"wk inc flu hosp","quantile","0.2",450
"01",2022-10-22,2,2022-11-05,"wk inc flu hosp","quantile","0.2",898
"01",2022-10-22,1,2022-10-29,"wk inc flu hosp","quantile","0.3",512
"01",2022-10-22,2,2022-11-05,"wk inc flu hosp","quantile","0.3",1058
"01",2022-10-22,1,2022-10-29,"wk inc flu hosp","quantile","0.4",575
