"location","reference_date","horizon","target_end_date","target","output_type","output_type_id","value"
"US",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.025",6656
"US",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.1",7976
"US",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.2",8285
"US",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.3",8462
"US",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.4",8607
"US",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.5",8727
"US",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.6",8849
"US",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.7",8991
"US",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.8",9163
"US",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.9",9476
"US",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.975",10811
"US",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.025",6456
"US",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.1",7699
"US",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.2",8143
"US",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.3",8377
"US",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.4",8563
"US",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.5",8727
"US",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.6",8893
"US",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.7",9077
"US",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.8",9310
"US",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.9",9776
"US",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.975",11008
"01",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.025",216
"01",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.1",268
"01",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.2",289
"01",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.3",296
"01",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.4",301
"01",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.5",306
"01",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.6",311
"01",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.7",316
"01",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.8",323
"01",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.9",344
"01",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.975",396
"01",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.025",202
"01",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.1",256
"01",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.2",282
"01",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.3",293
"01",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.4",300
"01",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.5",306
"01",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.6",312
"01",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.7",319
"01",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.8",330
"01",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.9",356
"01",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.975",410
"02",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.025",0
"02",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.1",5
"02",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.2",8
"02",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.3",10
"02",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.4",11
"02",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.5",12
"02",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.6",13
"02",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.7",14
"02",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.8",16
"02",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.9",19
"02",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.975",25
"02",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.025",0
"02",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.1",2
"02",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.2",7
"02",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.3",9
"02",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.4",11
"02",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.5",12
"02",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.6",13
"02",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.7",15
"02",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.8",17
"02",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.9",22
"02",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.975",27
"01",2022-11-19,1,2022-11-26,"wk inc flu hosp","mean",,305.9654939759466
"01",2022-11-19,2,2022-12-03,"wk inc flu hosp","mean",,305.99528229610746
"02",2022-11-19,1,2022-11-26,"wk inc flu hosp","mean",,12.041368845904017
"02",2022-11-19,2,2022-12-03,"wk inc flu hosp","mean",,12.186089684996029
"US",2022-11-19,1,2022-11-26,"wk inc flu hosp","mean",,8721.0806062298
"US",2022-11-19,2,2022-12-03,"wk inc flu hosp","mean",,8731.653909985753
"01",2022-11-19,1,2022-11-26,"wk flu hosp rate category","pmf","low",0.0003448513796354543
"01",2022-11-19,1,2022-11-26,"wk flu hosp rate category","pmf","moderate",0.05945354714644165
"01",2022-11-19,1,2022-11-26,"wk flu hosp rate category","pmf","high",0.9050131845879607
"01",2022-11-19,1,2022-11-26,"wk flu hosp rate category","pmf","very high",0.03518841688596231
"01",2022-11-19,2,2022-12-03,"wk flu hosp rate category","pmf","low",0.0003068349837582918
"01",2022-11-19,2,2022-12-03,"wk flu hosp rate category","pmf","moderate",0.09221401719947955
"01",2022-11-19,2,2022-12-03,"wk flu hosp rate category","pmf","high",0.8545180121309606
"01",2022-11-19,2,2022-12-03,"wk flu hosp rate category","pmf","very high",0.05296113568580163
