"location","reference_date","horizon","target_end_date","target","output_type","output_type_id","value"
"US",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.025",9123
"US",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.1",10115
"US",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.2",10850
"US",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.3",11437
"US",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.4",11967
"US",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.5",12486
"US",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.6",13032
"US",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.7",13650
"US",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.8",14418
"US",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.9",15548
"US",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.975",17386
"US",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.025",8267
"US",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.1",9500
"US",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.2",10461
"US",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.3",11240
"US",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.4",11957
"US",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.5",12673
"US",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.6",13433
"US",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.7",14304
"US",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.8",15367
"US",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.9",16981
"US",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.975",19731
"01",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.025",208
"01",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.025",127
"01",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.1",232
"01",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.1",146
"01",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.2",250
"01",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.2",160
"01",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.3",264
"01",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.3",171
"01",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.4",277
"01",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.4",182
"01",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.5",289
"01",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.5",192
"01",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.6",300
"01",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.6",202
"01",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.7",312
"01",2022-11-19,2,2022-12-03,"wk inc flu hosp","quantile","0.7",213
"01",2022-11-19,1,2022-11-26,"wk inc flu hosp","quantile","0.8",328
